"_"",""NE__PropId__c"",""NE__PropId__r.Name"",""Id"",""Name"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBsAAK"",""COMTP - Comerc. Serviços de Transporte"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBtAAK"",""CPCPE - Consumo Próprio - Escritórios"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBuAAK"",""CPCPO - Consumo Próprio - Canteiro de Obras"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBvAAK"",""CPCPSE - Consumo Próprio - Sub-Estação"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBwAAK"",""CPCPU - Consumo Próprio - Usinas"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBxAAK"",""ILPUBL - Iluminação Pública"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgByAAK"",""INDBOPT - Industrial B-Optante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBzAAK"",""INDUST - Industrial"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC0AAK"",""PPEBOPT - Poder Público Estadual B-Optante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC1AAK"",""PPEST - Poder Público Estadual"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC2AAK"",""PPFBOPT - Poder Público Federal B-Optante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC3AAK"",""PPFED - Poder Público Federal"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC4AAK"",""PPMBOPT - Poder Público Municipal B-Optante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC5AAK"",""PPMUN - Poder Público Municipal"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC6AAK"",""REBRBPC - Resid. Baixa Renda BPC"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC7AAK"",""REBRIND - Resid. Baixa Renda Indígena"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC8AAK"",""REBRMUL - Resid. Baixa Renda Multifamiliar"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgC9AAK"",""REBRQUI - Resid. Baixa Renda Quilombola"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCAAA0"",""REBXR - Resid. Baixa Renda"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCBAA0"",""REPLN - Residencial Pleno"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCCAA0"",""RESBOPT - Residencial B-Optante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCDAA0"",""RUAGU - Rural Agropecuária Urbana"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCEAA0"",""RUAQC - Rural Aquicultura / Irrigante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCFAA0"",""RUCES - Rural Cooperativa de Eletrificação Rural"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCGAA0"",""RURAG - Rural Agropecuária"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCHAA0"",""RURBOPT - Rural B-Optante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCIAA0"",""RURCR - Rural Coletividade Rural"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCJAA0"",""RUREA - Rural Escola Agrotécnica"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCKAA0"",""RURIR - Rural Indústria Rural"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCLAA0"",""RURRR - Rural Residencial Rural"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCMAA0"",""RURSP - Rural Serviço Público de Irrigação Rural"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCNAA0"",""SPAES - Serviço Público Água Esgoto e Saneamento"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCOAA0"",""SPAESBOT - Serviço Público AES B-Optante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCPAA0"",""SPERVBOT - Serviço Público B-Optante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCQAA0"",""SPTER - Serviço Público Tração Elétrica"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCRAA0"",""SPTRS - Serviço Público Trat. de Resíduo Sólido"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgCbAAK"",""REVENDA - Revenda de Energia"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgOJAA0"",""RUAQCOPT - Rural Optante Aquicultura / Irrigante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003Zs6zAAC"",""RUAQC - Rural Aquicultura"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003Zs70AAC"",""RURIR - Rural Irrigante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i9O00000rqt3WQAQ"",""REBXDS - Resid. Desconto Social"
